IDProduto;IDVenda;Quantidade;ValorUnitario;ValorTotal;Desconto
2;1;1;7820.85;7820.85;0.00
9;1;1;97.75;97.75;0.98
10;1;1;135.00;135.00;1.35
8;2;1;150.40;150.40;1.50
5;3;2;2966.00;5932.00;0.00
7;3;1;155.00;155.00;0.00
2;4;1;7820.85;7820.85;0.00
6;4;2;2955.00;5910.00;59.10
9;4;1;97.75;97.75;0.98
1;5;1;8852.00;8852.00;0.00
3;5;2;3255.08;6510.16;65.10
4;5;1;7658.00;7658.00;0.00
6;5;1;2955.00;2955.00;0.00
10;5;1;121.50;121.50;1.22
2;6;2;9201.00;18402.00;184.02
1;7;1;7524.20;7524.20;0.00
2;8;1;7820.85;7820.85;78.21
3;8;1;3616.75;3616.75;0.00
8;8;2;188.00;376.00;0.00
9;8;1;115.00;115.00;1.15
10;8;1;108.00;108.00;1.08
6;9;1;2364.00;2364.00;23.64
7;9;1;155.00;155.00;1.55
8;9;1;188.00;188.00;1.88
9;9;1;97.75;97.75;0.98
1;10;1;8852.00;8852.00;0.00
1;11;1;7524.20;7524.20;0.00
4;11;1;6509.30;6509.30;0.00
6;11;1;2511.75;2511.75;0.00
1;12;1;8852.00;8852.00;0.00
6;12;1;2260.58;2260.58;0.00
7;12;1;139.50;139.50;0.00
8;12;1;159.80;159.80;0.00
2;13;2;7820.85;15641.70;0.00
8;13;1;188.00;188.00;1.88
1;14;1;6019.36;6019.36;60.19
10;14;1;135.00;135.00;1.35
3;15;1;3255.08;3255.08;32.55
6;16;1;2511.75;2511.75;25.12
7;16;1;139.50;139.50;0.00
9;16;1;115.00;115.00;1.15
10;16;1;135.00;135.00;1.35
2;17;2;7820.85;15641.70;0.00
8;17;1;188.00;188.00;0.00
3;18;2;3616.75;7233.50;0.00
4;18;1;7658.00;7658.00;76.58
5;18;1;2016.88;2016.88;0.00
9;18;1;87.98;87.98;0.88
7;19;1;155.00;155.00;1.55
7;20;1;131.75;131.75;1.32
5;21;1;2521.10;2521.10;0.00
1;22;1;7524.20;7524.20;0.00
8;22;1;127.84;127.84;0.00
6;23;1;2955.00;2955.00;0.00
8;24;1;159.80;159.80;1.60
10;24;1;114.75;114.75;1.15
1;25;1;8852.00;8852.00;88.52
5;25;1;2268.99;2268.99;22.69
8;25;1;169.20;169.20;0.00
1;26;1;8852.00;8852.00;0.00
8;26;1;127.84;127.84;0.00
3;27;1;3255.08;3255.08;32.55
8;27;1;188.00;188.00;1.88
9;27;1;97.75;97.75;0.00
6;28;1;2260.58;2260.58;22.61
6;29;2;2955.00;5910.00;0.00
4;30;1;6892.20;6892.20;68.92
9;30;1;115.00;115.00;1.15
10;30;1;121.50;121.50;1.22
5;31;1;2016.88;2016.88;0.00
6;31;1;2511.75;2511.75;25.12
7;31;1;94.86;94.86;0.95
9;31;1;87.98;87.98;0.88
1;32;2;7081.60;14163.20;0.00
10;32;1;121.50;121.50;0.00
1;33;1;6771.78;6771.78;67.72
6;33;1;2009.40;2009.40;0.00
8;33;1;159.80;159.80;1.60
1;34;1;8852.00;8852.00;88.52
4;34;1;6892.20;6892.20;0.00
9;34;1;78.20;78.20;0.00
8;35;1;159.80;159.80;1.60
10;35;1;103.28;103.28;1.03
2;36;1;7820.85;7820.85;78.21
4;36;1;7658.00;7658.00;0.00
5;36;1;2966.00;2966.00;29.66
7;36;1;155.00;155.00;1.55
9;36;1;103.50;103.50;1.04
10;36;1;135.00;135.00;0.00
3;37;2;3255.08;6510.16;65.10
2;38;1;9201.00;9201.00;0.00
5;39;1;2268.99;2268.99;22.69
6;39;1;2511.75;2511.75;0.00
5;40;2;2966.00;5932.00;0.00
5;41;1;2669.40;2669.40;26.69
7;41;1;131.75;131.75;0.00
8;41;1;188.00;188.00;0.00
1;42;1;6771.78;6771.78;0.00
3;42;1;3829.50;3829.50;0.00
6;42;1;2364.00;2364.00;23.64
10;42;1;114.75;114.75;1.15
7;43;1;118.58;118.58;0.00
8;43;1;188.00;188.00;1.88
1;44;1;7524.20;7524.20;0.00
9;45;1;115.00;115.00;0.00
1;46;1;6771.78;6771.78;67.72
7;46;1;131.75;131.75;1.32
8;46;1;159.80;159.80;0.00
9;46;1;97.75;97.75;0.00
10;46;1;135.00;135.00;0.00
2;47;2;7820.85;15641.70;156.42
4;47;1;5513.76;5513.76;55.14
3;48;2;2893.40;5786.80;0.00
9;48;1;78.20;78.20;0.00
2;49;1;5631.01;5631.01;56.31
8;49;1;188.00;188.00;0.00
9;49;1;103.50;103.50;1.04
5;50;1;2669.40;2669.40;0.00
8;50;1;188.00;188.00;1.88
4;51;1;5858.37;5858.37;0.00
4;52;1;5858.37;5858.37;0.00
5;52;1;2521.10;2521.10;0.00
10;52;1;121.50;121.50;0.00
2;53;1;9201.00;9201.00;92.01
3;53;1;2604.06;2604.06;0.00
8;53;1;188.00;188.00;0.00
9;53;1;103.50;103.50;0.00
1;54;1;7524.20;7524.20;75.24
10;54;2;114.75;229.50;2.29
1;55;1;7966.80;7966.80;0.00
4;55;1;5858.37;5858.37;58.58
9;55;1;115.00;115.00;0.00
1;56;1;7966.80;7966.80;79.67
5;56;1;2966.00;2966.00;0.00
9;56;1;87.98;87.98;0.00
10;56;1;91.80;91.80;0.00
4;57;2;6509.30;13018.60;0.00
8;58;1;169.20;169.20;1.69
1;59;1;8852.00;8852.00;88.52
5;59;1;2372.80;2372.80;23.73
7;59;1;139.50;139.50;0.00
4;60;1;7658.00;7658.00;76.58
10;60;2;121.50;243.00;2.43
2;61;1;8280.90;8280.90;82.81
3;62;1;3616.75;3616.75;36.17
2;63;1;7820.85;7820.85;78.21
8;64;1;135.36;135.36;0.00
9;64;1;87.98;87.98;0.88
10;64;1;135.00;135.00;0.00
5;65;1;2521.10;2521.10;0.00
9;65;1;87.98;87.98;0.00
3;66;1;3616.75;3616.75;0.00
7;66;1;155.00;155.00;1.55
10;66;1;114.75;114.75;0.00
4;67;1;6509.30;6509.30;65.09
8;67;1;169.20;169.20;1.69
3;68;1;3616.75;3616.75;36.17
7;68;1;118.58;118.58;0.00
10;68;1;103.28;103.28;1.03
1;69;2;8852.00;17704.00;0.00
8;69;1;169.20;169.20;1.69
9;69;1;78.20;78.20;0.78
10;69;1;121.50;121.50;0.00
10;70;1;114.75;114.75;0.00
6;71;1;2009.40;2009.40;0.00
1;72;1;6771.78;6771.78;0.00
2;72;1;6256.68;6256.68;62.57
6;72;1;2260.58;2260.58;0.00
10;72;1;135.00;135.00;1.35
2;73;1;7038.77;7038.77;70.39
8;74;1;127.84;127.84;1.28
1;75;1;8852.00;8852.00;0.00
7;75;1;155.00;155.00;1.55
4;76;1;7658.00;7658.00;382.90
6;76;1;2955.00;2955.00;118.20
7;76;1;124.00;124.00;4.96
2;77;1;9201.00;9201.00;460.05
10;78;1;91.80;91.80;1.84
3;79;1;3616.75;3616.75;180.84
4;79;1;6509.30;6509.30;260.37
5;79;1;2966.00;2966.00;29.66
10;79;1;114.75;114.75;2.30
3;80;2;3616.75;7233.50;217.01
1;81;1;8852.00;8852.00;531.12
2;81;1;9201.00;9201.00;276.03
6;81;1;2260.58;2260.58;45.21
7;81;1;94.86;94.86;4.74
10;81;1;135.00;135.00;2.70
1;82;2;7524.20;15048.40;601.94
8;82;1;127.84;127.84;3.84
9;82;1;97.75;97.75;2.93
10;82;1;103.28;103.28;5.16
4;83;1;6892.20;6892.20;206.77
8;83;1;169.20;169.20;3.38
10;83;1;135.00;135.00;2.70
2;84;1;8280.90;8280.90;248.43
1;85;2;5417.42;10834.84;108.35
6;85;1;2659.50;2659.50;53.19
9;85;1;103.50;103.50;4.14
10;85;1;108.00;108.00;5.40
8;86;1;159.80;159.80;1.60
9;86;1;115.00;115.00;1.15
10;86;1;114.75;114.75;6.89
2;87;1;8280.90;8280.90;331.24
9;87;1;87.98;87.98;1.76
4;88;2;5858.37;11716.74;234.33
9;88;1;103.50;103.50;5.18
1;89;1;8852.00;8852.00;177.04
5;89;1;2966.00;2966.00;88.98
4;90;1;6892.20;6892.20;275.69
7;90;1;124.00;124.00;2.48
9;90;1;97.75;97.75;3.91
10;90;1;91.80;91.80;3.67
10;91;1;103.28;103.28;5.16
6;92;2;2511.75;5023.50;301.41
7;92;1;139.50;139.50;5.58
2;93;1;7038.77;7038.77;351.94
3;94;1;4255.00;4255.00;85.10
6;94;1;2511.75;2511.75;100.47
9;95;1;92.00;92.00;2.76
10;95;1;121.50;121.50;2.43
2;96;1;7820.85;7820.85;391.04
3;96;1;3616.75;3616.75;36.17
5;96;1;2268.99;2268.99;45.38
6;96;1;2955.00;2955.00;59.10
8;96;1;169.20;169.20;6.77
9;96;1;92.00;92.00;5.52
10;96;2;121.50;243.00;14.58
8;97;1;143.82;143.82;2.88
1;98;2;8852.00;17704.00;1062.24
10;98;1;114.75;114.75;3.44
4;99;1;4686.70;4686.70;93.73
7;99;1;118.58;118.58;1.19
6;100;1;2364.00;2364.00;23.64
8;100;1;143.82;143.82;4.31
10;100;1;135.00;135.00;2.70
7;101;1;118.58;118.58;2.37
9;101;1;115.00;115.00;1.15
7;102;1;155.00;155.00;4.65
5;103;1;2268.99;2268.99;45.38
8;103;1;159.80;159.80;1.60
1;104;2;6771.78;13543.56;406.31
2;104;2;6624.72;13249.44;132.49
6;104;1;2260.58;2260.58;135.63
8;104;1;150.40;150.40;9.02
9;104;1;103.50;103.50;2.07
1;105;2;7524.20;15048.40;451.45
5;105;1;2521.10;2521.10;50.42
6;105;1;2511.75;2511.75;50.24
8;105;1;169.20;169.20;8.46
9;105;1;87.98;87.98;3.52
1;106;1;6771.78;6771.78;270.87
2;107;1;5631.01;5631.01;56.31
9;108;2;103.50;207.00;10.35
2;109;2;8280.90;16561.80;331.24
2;110;2;9201.00;18402.00;920.10
6;110;1;2955.00;2955.00;118.20
5;111;1;2966.00;2966.00;177.96
9;111;1;82.80;82.80;0.83
1;112;1;6771.78;6771.78;270.87
5;112;2;2521.10;5042.20;302.53
8;112;1;188.00;188.00;7.52
10;112;1;121.50;121.50;4.86
2;113;1;6256.68;6256.68;375.40
5;113;1;2966.00;2966.00;88.98
9;113;1;87.98;87.98;3.52
1;114;1;7966.80;7966.80;239.00
3;114;1;3829.50;3829.50;191.48
4;114;1;6509.30;6509.30;390.56
10;114;1;108.00;108.00;2.16
7;115;1;118.58;118.58;5.93
8;115;1;150.40;150.40;6.02
9;115;1;115.00;115.00;6.90
10;115;1;114.75;114.75;1.15
5;116;1;2669.40;2669.40;26.69
9;116;1;70.38;70.38;2.11
10;116;1;108.00;108.00;4.32
7;117;1;155.00;155.00;1.55
8;118;1;159.80;159.80;7.99
8;119;1;159.80;159.80;9.59
3;120;1;4255.00;4255.00;255.30
9;120;1;115.00;115.00;5.75
10;120;2;135.00;270.00;16.20
1;121;1;8852.00;8852.00;177.04
2;121;1;8280.90;8280.90;414.05
8;121;1;188.00;188.00;7.52
9;121;1;92.00;92.00;0.92
10;121;1;114.75;114.75;2.30
5;122;1;2966.00;2966.00;118.64
8;122;1;188.00;188.00;3.76
10;122;1;135.00;135.00;2.70
1;123;2;7966.80;15933.60;956.02
3;123;1;3829.50;3829.50;191.48
7;123;1;131.75;131.75;6.59
8;123;1;188.00;188.00;7.52
2;124;2;7820.85;15641.70;625.67
7;124;1;155.00;155.00;6.20
10;124;1;114.75;114.75;6.89
4;125;1;6509.30;6509.30;390.56
7;126;1;131.75;131.75;3.95
8;126;1;169.20;169.20;1.69
9;126;1;97.75;97.75;1.96
10;126;1;108.00;108.00;3.24
1;127;1;5417.42;5417.42;54.17
9;127;1;115.00;115.00;1.15
5;128;1;2521.10;2521.10;100.84
6;128;1;2659.50;2659.50;106.38
6;129;1;2127.60;2127.60;85.10
10;129;1;114.75;114.75;6.89
3;130;2;2893.40;5786.80;231.47
2;131;1;6256.68;6256.68;250.27
3;131;2;3829.50;7659.00;306.36
5;131;1;2268.99;2268.99;68.07
6;132;1;2955.00;2955.00;29.55
7;132;1;131.75;131.75;2.63
9;133;1;97.75;97.75;1.96
10;133;1;121.50;121.50;2.43
3;134;1;3829.50;3829.50;76.59
4;134;1;6509.30;6509.30;130.19
8;134;1;188.00;188.00;3.76
9;134;1;97.75;97.75;3.91
10;134;2;103.28;206.56;2.07
6;135;1;2659.50;2659.50;53.19
7;135;1;94.86;94.86;3.79
8;135;1;159.80;159.80;4.79
4;136;1;7658.00;7658.00;153.16
5;136;1;2521.10;2521.10;75.63
9;136;1;97.75;97.75;0.98
10;136;1;108.00;108.00;6.48
7;137;1;139.50;139.50;4.19
5;138;1;2521.10;2521.10;151.27
2;139;1;8280.90;8280.90;248.43
8;139;1;135.36;135.36;4.06
9;139;1;97.75;97.75;5.86
4;140;1;6509.30;6509.30;455.65
2;141;1;9201.00;9201.00;552.06
3;141;1;3616.75;3616.75;180.84
5;142;2;2669.40;5338.80;320.33
10;142;1;114.75;114.75;8.03
5;143;2;2669.40;5338.80;160.16
8;143;1;188.00;188.00;9.40
9;143;1;82.80;82.80;4.97
8;144;1;115.06;115.06;4.60
3;145;2;3616.75;7233.50;361.68
5;145;1;2966.00;2966.00;207.62
5;146;1;2372.80;2372.80;118.64
10;146;1;91.80;91.80;3.67
3;147;1;78.20;78.20;4.69
4;147;1;6509.30;6509.30;455.65
5;147;1;2521.10;2521.10;126.06
9;147;1;78.20;78.20;5.47
10;147;1;135.00;135.00;4.05
2;148;1;7360.80;7360.80;441.65
7;149;1;131.75;131.75;5.27
8;149;1;159.80;159.80;4.79
4;150;1;6509.30;6509.30;195.28
8;150;1;188.00;188.00;13.16
3;151;1;4255.00;4255.00;127.65
7;151;1;131.75;131.75;7.91
5;152;1;2135.52;2135.52;64.07
4;153;1;5207.44;5207.44;156.22
10;153;1;108.00;108.00;4.32
2;154;1;7820.85;7820.85;312.83
8;154;1;169.20;169.20;6.77
8;155;1;159.80;159.80;7.99
2;156;2;9201.00;18402.00;1104.12
8;156;2;143.82;287.64;20.13
10;156;1;97.20;97.20;6.80
2;157;1;9201.00;9201.00;644.07
5;157;1;2016.88;2016.88;121.01
7;157;1;131.75;131.75;6.59
6;158;2;2659.50;5319.00;159.57
7;158;1;124.00;124.00;4.96
8;158;1;150.40;150.40;6.02
5;159;1;2268.99;2268.99;90.76
2;160;2;7820.85;15641.70;469.25
3;160;1;3616.75;3616.75;253.17
10;160;2;135.00;270.00;8.10
1;161;1;7524.20;7524.20;376.21
5;161;1;2268.99;2268.99;113.45
8;161;1;188.00;188.00;7.52
9;161;1;82.80;82.80;2.48
10;161;1;114.75;114.75;6.89
1;162;1;7524.20;7524.20;225.73
4;162;1;5858.37;5858.37;234.33
8;162;1;188.00;188.00;9.40
5;163;1;2966.00;2966.00;207.62
8;163;1;143.82;143.82;7.19
9;163;1;97.75;97.75;3.91
5;164;2;2966.00;5932.00;355.92
6;164;1;2955.00;2955.00;206.85
8;164;1;143.82;143.82;10.07
9;164;1;92.00;92.00;6.44
1;165;1;8852.00;8852.00;265.56
10;165;1;114.75;114.75;6.89
2;166;1;9201.00;9201.00;552.06
5;167;1;2521.10;2521.10;75.63
7;168;1;111.60;111.60;5.58
8;168;1;159.80;159.80;7.99
9;168;1;103.50;103.50;4.14
10;168;1;121.50;121.50;3.65
7;169;1;131.75;131.75;6.59
7;170;2;155.00;310.00;9.30
3;171;1;3616.75;3616.75;108.50
7;171;1;124.00;124.00;8.68
10;171;1;97.20;97.20;3.89
2;172;2;7820.85;15641.70;1094.92
4;172;2;6509.30;13018.60;1301.86
2;173;2;9201.00;18402.00;1840.20
6;173;1;2955.00;2955.00;265.95
10;173;1;114.75;114.75;10.33
4;174;1;6509.30;6509.30;650.93
8;175;1;159.80;159.80;14.38
