IDVenda;IDVendedor;IDCliente;Data;Total
1;1;91;2021-01-01 00:00:00;8053.60
2;6;185;2021-01-02 00:00:00;150.40
3;7;31;2021-01-03 00:00:00;6087.00
4;5;15;2021-01-04 00:00:00;13828.60
5;8;120;2021-01-05 00:00:00;26096.66
6;9;74;2021-01-06 00:00:00;18402.00
7;9;191;2021-01-07 00:00:00;7524.20
8;6;186;2021-01-08 00:00:00;12036.60
9;7;91;2021-01-09 00:00:00;2804.75
10;2;202;2021-01-10 00:00:00;8852.00
11;1;58;2021-01-11 00:00:00;16545.25
12;7;32;2021-01-12 00:00:00;11411.88
13;4;136;2021-01-13 00:00:00;15829.70
14;3;249;2021-01-14 00:00:00;6154.36
15;4;249;2021-01-15 00:00:00;3255.08
16;7;192;2021-01-16 00:00:00;2901.25
17;2;79;2021-01-17 00:00:00;15829.70
18;10;136;2021-01-18 00:00:00;16996.36
19;10;191;2021-01-19 00:00:00;155.00
20;9;218;2021-01-20 00:00:00;131.75
21;3;192;2021-01-21 00:00:00;2521.10
22;2;74;2021-01-22 00:00:00;7652.04
23;2;54;2021-01-23 00:00:00;2955.00
24;1;173;2021-01-24 00:00:00;274.55
25;2;58;2021-01-25 00:00:00;11290.19
26;2;74;2021-01-26 00:00:00;8979.84
27;9;233;2021-01-27 00:00:00;3540.83
28;7;191;2021-01-28 00:00:00;2260.58
29;1;249;2021-01-29 00:00:00;5910.00
30;4;218;2021-01-30 00:00:00;7128.70
31;9;249;2021-01-31 00:00:00;4711.47
32;3;79;2021-02-01 00:00:00;14284.70
33;4;58;2021-02-02 00:00:00;8940.98
34;4;74;2021-02-03 00:00:00;15822.40
35;1;233;2021-02-04 00:00:00;263.08
36;2;89;2021-02-05 00:00:00;18838.35
37;7;192;2021-02-06 00:00:00;6510.16
38;2;202;2021-02-07 00:00:00;9201.00
39;6;233;2021-02-08 00:00:00;4780.74
40;5;31;2021-02-09 00:00:00;5932.00
41;2;249;2021-02-10 00:00:00;2989.15
42;1;105;2021-02-11 00:00:00;13080.03
43;3;218;2021-02-12 00:00:00;306.58
44;2;185;2021-02-13 00:00:00;7524.20
45;1;89;2021-02-14 00:00:00;115.00
46;8;58;2021-02-15 00:00:00;7296.08
47;4;100;2021-02-16 00:00:00;21155.46
48;10;173;2021-02-17 00:00:00;5865.00
49;4;105;2021-02-18 00:00:00;5922.51
50;1;58;2021-02-19 00:00:00;2857.40
51;4;249;2021-02-20 00:00:00;5858.37
52;3;120;2021-02-21 00:00:00;8500.97
53;7;185;2021-02-22 00:00:00;12096.56
54;1;185;2021-02-23 00:00:00;7753.70
55;2;191;2021-02-24 00:00:00;13940.17
56;2;115;2021-02-25 00:00:00;11112.58
57;8;74;2021-02-26 00:00:00;13018.60
58;3;115;2021-02-27 00:00:00;169.20
59;9;79;2021-02-28 00:00:00;11364.30
60;4;136;2021-03-01 00:00:00;7901.00
61;2;105;2021-03-02 00:00:00;8280.90
62;10;74;2021-03-03 00:00:00;3616.75
63;10;191;2021-03-04 00:00:00;7820.85
64;7;218;2021-03-05 00:00:00;358.34
65;3;54;2021-03-06 00:00:00;2609.08
66;8;27;2021-03-07 00:00:00;3886.50
67;4;191;2021-03-08 00:00:00;6678.50
68;5;31;2021-03-09 00:00:00;3838.61
