IDVenda;IDVendedor;IDCliente;Data;Total
1;1;91;01/01/2016;8053.60
2;6;185;01/01/2016;150.40
3;7;31;02/01/2016;6087.00
4;5;15;02/01/2016;13828.60
5;8;120;03/01/2016;26096.66
6;9;74;04/01/2016;18402.00
7;9;191;06/01/2016;7524.20
8;6;186;06/01/2016;12036.60
9;7;91;06/01/2016;2804.75
10;2;202;06/01/2016;8852.00
11;1;58;08/01/2016;16545.25
12;7;32;09/01/2016;11411.88
13;4;136;10/01/2016;15829.70
14;3;249;12/01/2016;6154.36
15;4;249;12/01/2016;3255.08
16;7;192;13/01/2016;2901.25
17;2;79;13/01/2016;15829.70
18;10;136;14/01/2016;16996.36
19;10;191;14/01/2016;155.00
20;9;218;15/01/2016;131.75
21;3;192;17/01/2016;2521.10
22;2;74;17/01/2016;7652.04
23;2;54;17/01/2016;2955.00
24;1;173;18/01/2016;274.55
25;2;58;19/01/2016;11290.19
26;2;74;21/01/2016;8979.84
27;9;233;21/01/2016;3540.83
28;7;191;22/01/2016;2260.58
29;1;249;22/01/2016;5910.00
30;4;218;23/01/2016;7128.70
31;9;249;23/01/2016;4711.47
32;3;79;24/01/2016;14284.70
33;4;58;24/01/2016;8940.98
34;4;74;24/01/2016;15822.40
35;1;233;26/01/2016;263.08
36;2;89;27/01/2016;18838.35
37;7;192;27/01/2016;6510.16
38;2;202;27/01/2016;9201.00
39;6;233;27/01/2016;4780.74
40;5;31;29/01/2016;5932.00
41;2;249;30/01/2016;2989.15
42;1;105;30/01/2016;13080.03
43;3;218;01/02/2016;306.58
44;2;185;02/02/2016;7524.20
45;1;89;02/02/2016;115.00
46;8;58;03/02/2016;7296.08
47;4;100;05/02/2016;21155.46
48;10;173;08/02/2016;5865.00
49;4;105;09/02/2016;5922.51
50;1;58;09/02/2016;2857.40
51;4;249;09/02/2016;5858.37
52;3;120;10/02/2016;8500.97
53;7;185;10/02/2016;12096.56
54;1;185;11/02/2016;7753.70
55;2;191;11/02/2016;13940.17
56;2;115;12/02/2016;11112.58
57;8;74;13/02/2016;13018.60
58;3;115;13/02/2016;169.20
59;9;79;14/02/2016;11364.30
60;4;136;14/02/2016;7901.00
61;2;105;15/02/2016;8280.90
62;10;74;19/02/2016;3616.75
63;10;191;20/02/2016;7820.85
64;7;218;21/02/2016;358.34
65;3;54;21/02/2016;2609.08
66;8;27;21/02/2016;3886.50
67;4;191;22/02/2016;6678.50
68;5;31;24/02/2016;3838.61
69;3;105;24/02/2016;18072.90
70;5;58;24/02/2016;114.75
71;3;120;25/02/2016;2009.40
72;4;74;27/02/2016;15424.04
73;3;89;27/02/2016;7038.77
74;7;32;27/02/2016;127.84
75;10;91;28/02/2016;9007.00
76;10;202;02/03/2016;10737.00
77;2;89;04/03/2016;9201.00
78;3;100;04/03/2016;91.80
79;4;120;04/03/2016;13206.80
80;6;54;04/03/2016;7233.50
81;7;58;07/03/2016;20543.44
82;9;185;08/03/2016;15377.27
83;8;54;09/03/2016;7196.40
84;9;192;10/03/2016;8280.90
85;7;233;11/03/2016;13705.84
86;2;185;12/03/2016;389.55
87;6;100;13/03/2016;8368.88
88;2;233;14/03/2016;11820.24
89;7;218;14/03/2016;11818.00
90;4;115;15/03/2016;7205.75
