SALDO_ATUAL;RESIDENCIADESDE;IDADE;OUTROSPLANOSPGTO;DATA;ESTADOCIVIL;PROPOSITO;CLASSE
1169;4;67;nenhum;01/01/2019;masculino solteiro;radio/tv;bom
5951;2;22;nenhum;01/01/2020;fem div/cas;radio/tv;ruim
2096;3;49;nenhum;02/01/2020;masculino solteiro;educação;bom
7882;4;45;nenhum;02/01/2019;masculino solteiro;mobilia/equipamento;bom
4870;4;53;nenhum;03/01/2018;masculino solteiro;carro novo;ruim
9055;4;35;nenhum;04/01/2020;masculino solteiro;educação;bom
2835;4;53;nenhum;06/01/2019;masculino solteiro;mobilia/equipamento;bom
6948;2;35;nenhum;06/01/2019;masculino solteiro;carro usado;bom
3059;4;61;nenhum;06/01/2020;masculino div/sep;radio/tv;bom
5234;2;28;nenhum;06/01/2020;masculino casado/viuvo;carro novo;ruim
1295;1;25;nenhum;08/01/2019;;carro novo;ruim
4308;4;24;nenhum;09/01/2018;fem div/cas;negócios;ruim
1567;1;22;nenhum;10/01/2019;fem div/cas;radio/tv;bom
1199;4;60;nenhum;12/01/2020;masculino solteiro;carro novo;ruim
1403;4;28;nenhum;12/01/2018;fem div/cas;carro novo;bom
;2;32;nenhum;13/01/2020;fem div/cas;radio/tv;ruim
2424;4;53;nenhum;13/01/2019;masculino solteiro;radio/tv;bom
8072;3;25;banco;14/01/2019;masculino solteiro;negócios;bom
12579;2;44;nenhum;14/01/2019;fem div/cas;carro usado;ruim
3430;2;31;nenhum;15/01/2018;masculino solteiro;radio/tv;bom
2134;4;48;nenhum;17/01/2019;masculino solteiro;carro novo;bom
2647;3;44;nenhum;17/01/2020;masculino solteiro;radio/tv;bom
;3;48;nenhum;17/01/2018;masculino solteiro;carro novo;bom
1804;4;44;nenhum;18/01/2019;masculino solteiro;carro usado;bom
2069;1;26;nenhum;19/01/2019;masculino casado/viuvo;mobilia/equipamento;bom
1374;2;36;banco;21/01/2018;masculino solteiro;mobilia/equipamento;bom
426;4;39;nenhum;21/01/2018;masculino casado/viuvo;radio/tv;bom
409;3;42;nenhum;22/01/2020;fem div/cas;radio/tv;bom
2415;2;34;nenhum;22/01/2018;masculino solteiro;radio/tv;bom
;4;63;nenhum;23/01/2019;masculino solteiro;negócios;ruim
1913;3;36;banco;23/01/2018;masculino casado/viuvo;negócios;bom
4020;2;27;stores;24/01/2020;masculino solteiro;mobilia/equipamento;bom
5866;2;30;nenhum;24/01/2019;masculino solteiro;carro novo;bom
1264;4;57;nenhum;24/01/2020;masculino solteiro;negócios;bom
1474;1;33;banco;26/01/2020;fem div/cas;mobilia/equipamento;bom
4746;2;25;nenhum;27/01/2019;masculino solteiro;radio/tv;ruim
6110;3;31;banco;27/01/2018;masculino solteiro;educação;bom
2100;2;37;stores;27/01/2020;masculino solteiro;radio/tv;ruim
1225;2;37;nenhum;27/01/2020;;Eletrodomésticos;bom
458;3;24;nenhum;29/01/2019;masculino solteiro;radio/tv;bom
2333;2;30;banco;30/01/2018;masculino solteiro;radio/tv;bom
1158;1;26;nenhum;30/01/2018;masculino div/sep;radio/tv;bom
6204;4;44;nenhum;01/02/2019;masculino solteiro;obras;bom
6187;4;24;nenhum;02/02/2019;masculino casado/viuvo;carro usado;bom
6143;4;58;stores;02/02/2019;fem div/cas;carro usado;ruim
1393;4;35;nenhum;03/02/2019;fem div/cas;carro novo;bom
2299;4;39;nenhum;05/02/2020;masculino solteiro;radio/tv;bom
1352;2;23;nenhum;08/02/2018;fem div/cas;carro usado;bom
7228;4;39;nenhum;09/02/2020;masculino solteiro;carro novo;bom
2073;2;28;nenhum;09/02/2020;fem div/cas;radio/tv;bom
2333;2;29;banco;09/02/2019;masculino solteiro;mobilia/equipamento;bom
5965;2;30;nenhum;10/02/2019;masculino solteiro;carro usado;bom
1262;2;25;nenhum;10/02/2018;masculino solteiro;radio/tv;bom
3378;1;31;nenhum;11/02/2018;masculino solteiro;carro usado;bom
2225;4;57;banco;11/02/2018;masculino solteiro;carro novo;ruim
783;2;26;stores;12/02/2020;masculino solteiro;carro novo;bom
6468;1;52;nenhum;13/02/2020;masculino solteiro;radio/tv;ruim
9566;2;31;stores;13/02/2020;fem div/cas;radio/tv;bom
1961;2;23;nenhum;14/02/2020;fem div/cas;carro novo;bom
6229;4;23;nenhum;14/02/2018;fem div/cas;mobilia/equipamento;ruim
1391;1;27;banco;15/02/2019;masculino casado/viuvo;negócios;bom
1537;4;50;nenhum;19/02/2018;masculino solteiro;radio/tv;bom
1953;4;61;nenhum;20/02/2018;masculino solteiro;negócios;ruim
14421;2;25;nenhum;21/02/2020;masculino solteiro;negócios;ruim
3181;4;26;nenhum;21/02/2019;fem div/cas;radio/tv;bom
5190;4;48;nenhum;21/02/2019;masculino solteiro;obras;bom
2171;2;29;banco;22/02/2020;fem div/cas;radio/tv;bom
1007;1;22;nenhum;24/02/2019;masculino casado/viuvo;carro novo;bom
1819;4;37;stores;24/02/2019;masculino solteiro;educação;ruim
2394;4;25;nenhum;24/02/2020;fem div/cas;radio/tv;bom
8133;2;30;banco;25/02/2020;fem div/cas;carro usado;bom
730;2;46;nenhum;27/02/2019;masculino solteiro;radio/tv;bom
1164;4;51;banco;27/02/2019;masculino solteiro;outros;bom
5954;1;41;banco;27/02/2019;fem div/cas;negócios;bom
1977;4;40;nenhum;28/02/2019;masculino solteiro;educação;ruim
1526;4;66;nenhum;02/03/2019;masculino solteiro;carro usado;bom
